year,month,day,avg_trip_distance,avg_trip_cost,total_trip_costs,total_passengers
2022,1,1,5.94,20.97,1330638,96372
2022,1,2,6.21,22.76,1329446,86127
2022,1,3,7.7,20.91,1513871,99944
2022,1,4,3.47,19.8,1476121,101120
2022,1,5,5.92,19.35,1443025,100118
2022,1,6,5.05,18.64,1489668,107698
2022,1,7,3.03,23.92,1712218,98044
2022,1,8,3.15,18.5,1538965,119897
2022,1,9,5.86,20.02,1281541,91050
2022,1,10,4.77,18.82,1387224,96795
2022,1,11,8.13,17.98,1395534,101239
2022,1,12,2.87,18.22,1463859,105318
2022,1,13,2.95,18.57,1577438,112418
2022,1,14,7.08,18.9,1773525,127169
2022,1,15,8.83,18.13,1608276,125391
2022,1,16,4.54,18.99,1381919,102306
2022,1,17,4.99,20.39,1294964,86198
2022,1,18,4.94,18.99,1606689,110367
2022,1,19,3.63,18.24,1580339,113191
2022,1,20,8.54,18.24,1655484,118269
2022,1,21,4.21,18.22,1840713,134224
2022,1,22,3.23,17.83,1721959,136139
2022,1,23,3.42,19.54,1503167,106850
2022,1,24,3.35,18.75,1472687,101780
2022,1,25,2.79,18.18,1587979,114259
2022,1,26,4.95,18.04,1745617,125686
2022,1,27,3.59,18.98,1893592,129632
2022,1,28,6.28,19.52,1871133,126607
2022,1,29,20.21,17.34,596289,43003
2022,1,30,7.31,19.99,1423533,96067
2022,1,31,8.79,20.19,1734142,110804
